weight,threshold,accuracy,accusation_error,tps,tns,fps,fns
Text Length,0.23823823823823823,0.666056338028169,0.056433408577878104,3475,1254,2296,75
Text Length,0.23923923923923923,0.6676056338028169,0.055970149253731345,3475,1265,2285,75
Text Length,0.24024024024024024,0.6683098591549296,0.055762081784386616,3475,1270,2280,75
Text Length,0.24124124124124124,0.6690140845070423,0.05621301775147929,3474,1276,2274,76
Text Length,0.24224224224224225,0.6697183098591549,0.05796038151137197,3471,1284,2266,79
Text Length,0.24324324324324323,0.6707042253521127,0.05895196506550218,3469,1293,2257,81
Text Length,0.24424424424424424,0.6732394366197183,0.05818965517241379,3469,1311,2239,81
Text Length,0.24524524524524524,0.6740845070422535,0.05793991416309013,3469,1317,2233,81
Text Length,0.24624624624624625,0.6742253521126761,0.0597864768683274,3466,1321,2229,84
Text Length,0.24724724724724725,0.6756338028169014,0.059363957597173146,3466,1331,2219,84
Text Length,0.24824824824824826,0.6767605633802817,0.059030217849613494,3466,1339,2211,84
Text Length,0.24924924924924924,0.6773239436619718,0.05886475122634898,3466,1343,2207,84
Text Length,0.2502502502502503,0.6780281690140845,0.059274755927475595,3465,1349,2201,85
Text Length,0.25125125125125125,0.6791549295774648,0.05955678670360111,3464,1358,2192,86
Text Length,0.25225225225225223,0.6805633802816902,0.059147180192572216,3464,1368,2182,86
Text Length,0.25325325325325326,0.6815492957746478,0.060068259385665526,3462,1377,2173,88
Text Length,0.25425425425425424,0.6825352112676056,0.059782608695652176,3462,1384,2166,88
Text Length,0.2552552552552553,0.6838028169014084,0.05941931127616475,3462,1393,2157,88
Text Length,0.25625625625625625,0.6847887323943662,0.05913978494623656,3462,1400,2150,88
Text Length,0.25725725725725723,0.6853521126760563,0.059571619812583666,3461,1405,2145,89
Text Length,0.25825825825825827,0.686056338028169,0.06054557551563539,3459,1412,2138,91
Text Length,0.25925925925925924,0.6871830985915492,0.060225016545334215,3459,1420,2130,91
Text Length,0.2602602602602603,0.6871830985915492,0.06254114549045425,3455,1424,2126,95
Text Length,0.26126126126126126,0.6883098591549296,0.06221349050425671,3455,1432,2118,95
Text Length,0.26226226226226224,0.6885915492957746,0.06327462491846053,3453,1436,2114,97
Text Length,0.26326326326326327,0.6894366197183098,0.06472491909385113,3450,1445,2105,100
Text Length,0.26426426426426425,0.6902816901408451,0.06615285806037251,3447,1454,2096,103
Text Length,0.2652652652652653,0.6908450704225352,0.06598334401024984,3447,1458,2092,103
Text Length,0.26626626626626626,0.6912676056338029,0.06641123882503193,3446,1462,2088,104
Text Length,0.26726726726726724,0.6925352112676056,0.06713109563014566,3444,1473,2077,106
Text Length,0.2682682682682683,0.6933802816901409,0.06742281033396345,3443,1480,2070,107
Text Length,0.26926926926926925,0.6940845070422536,0.06721105527638191,3443,1485,2065,107
Text Length,0.2702702702702703,0.696056338028169,0.06662515566625156,3443,1499,2051,107
Text Length,0.27127127127127126,0.6970422535211268,0.06794317479925881,3440,1509,2041,110
Text Length,0.27227227227227224,0.6973239436619718,0.06785934608266501,3440,1511,2039,110
Text Length,0.2732732732732733,0.6977464788732395,0.06773399014778325,3440,1514,2036,110
Text Length,0.27427427427427425,0.6990140845070423,0.06736068585425597,3440,1523,2027,110
Text Length,0.2752752752752753,0.6991549295774648,0.06837606837606838,3438,1526,2024,112
Text Length,0.27627627627627627,0.699718309859155,0.06873479318734793,3437,1531,2019,113
Text Length,0.2772772772772773,0.7004225352112676,0.07112718505123568,3432,1541,2009,118
Text Length,0.2782782782782783,0.7012676056338029,0.07087087087087086,3432,1547,2003,118
Text Length,0.27927927927927926,0.7016901408450704,0.07074340527577938,3432,1550,2000,118
Text Length,0.2802802802802803,0.7025352112676057,0.07100238663484487,3431,1557,1993,119
